,Id,path,action,object,Self-reported fluency level ,First Language spoken,Current language used for work/school,speakerId,gender,ageRange,mfccs
83,83,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/934e5a90-447c-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-26.624918
84,84,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/995b4600-447c-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-27.119593
85,85,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/9e5f9b10-447c-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-25.66601
86,86,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/a0d04cf0-447c-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-24.987598
87,87,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/a3877db0-447c-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-23.189226
88,88,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/a9a5f550-447c-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-26.97808
89,89,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/ae1c8950-447c-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-24.489801
90,90,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/b3117510-447c-11e9-a9a5-5dbec3b8816a.wav,increase,heat,0,1,2,0,0,0,-27.485321
91,91,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/b63bb2f0-447c-11e9-a9a5-5dbec3b8816a.wav,increase,heat,0,1,2,0,0,0,-28.770817
92,92,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/b9a1e860-447c-11e9-a9a5-5dbec3b8816a.wav,increase,heat,0,1,2,0,0,0,-28.426966
93,93,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/bd917210-447c-11e9-a9a5-5dbec3b8816a.wav,increase,heat,0,1,2,0,0,0,-27.922474
94,94,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/c0317150-447c-11e9-a9a5-5dbec3b8816a.wav,increase,heat,0,1,2,0,0,0,-26.538664
95,95,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/c4808020-447c-11e9-a9a5-5dbec3b8816a.wav,increase,heat,0,1,2,0,0,0,-30.591125
96,96,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/2d859240-447d-11e9-a9a5-5dbec3b8816a.wav,decrease,heat,0,1,2,0,0,0,-22.96788
97,97,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/32ff8c80-447d-11e9-a9a5-5dbec3b8816a.wav,decrease,heat,0,1,2,0,0,0,-27.615332
98,98,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/34e73840-447d-11e9-a9a5-5dbec3b8816a.wav,decrease,heat,0,1,2,0,0,0,-24.879227
99,99,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/37a10110-447d-11e9-a9a5-5dbec3b8816a.wav,decrease,heat,0,1,2,0,0,0,-22.648361
100,100,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/3ae074a0-447d-11e9-a9a5-5dbec3b8816a.wav,decrease,heat,0,1,2,0,0,0,-24.161743
101,101,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/47564e30-447d-11e9-a9a5-5dbec3b8816a.wav,decrease,heat,0,1,2,0,0,0,-24.356596
102,102,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/cb6c1650-447d-11e9-a9a5-5dbec3b8816a.wav,activate,music,0,1,2,0,0,0,-23.030235
103,103,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/230c5690-447e-11e9-a9a5-5dbec3b8816a.wav,change language,none,0,1,2,0,0,0,-28.076687
104,104,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/2d728a00-447e-11e9-a9a5-5dbec3b8816a.wav,change language,none,0,1,2,0,0,0,-27.153551
105,105,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/3075def0-447e-11e9-a9a5-5dbec3b8816a.wav,change language,none,0,1,2,0,0,0,-25.693897
106,106,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/3e7e4670-45de-11e9-81ce-69b74fd7e64e.wav,deactivate,lights,3,1,2,1,0,0,-20.651863
107,107,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/4136fdd0-45de-11e9-81ce-69b74fd7e64e.wav,change language,none,3,1,2,1,0,0,-18.733128
108,108,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/4694e490-45de-11e9-81ce-69b74fd7e64e.wav,activate,music,3,1,2,1,0,0,-27.330809
109,109,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/494ead60-45de-11e9-81ce-69b74fd7e64e.wav,decrease,volume,3,1,2,1,0,0,-16.872593
110,110,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/540ee7b0-45de-11e9-81ce-69b74fd7e64e.wav,deactivate,lights,3,1,2,1,0,0,-18.510351
111,111,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/566d2300-45de-11e9-81ce-69b74fd7e64e.wav,deactivate,lights,3,1,2,1,0,0,-19.507189
112,112,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/58ddadd0-45de-11e9-81ce-69b74fd7e64e.wav,deactivate,lights,3,1,2,1,0,0,-22.689861
113,113,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/5b3be920-45de-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-19.650078
114,114,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/5def9770-45de-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-18.584166
115,115,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/608c8970-45de-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-18.909275
116,116,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/633eb120-45de-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-18.513685
117,117,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/66074700-45de-11e9-81ce-69b74fd7e64e.wav,decrease,volume,3,1,2,1,0,0,-19.856445
118,118,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/688edc40-45de-11e9-81ce-69b74fd7e64e.wav,decrease,volume,3,1,2,1,0,0,-18.790266
119,119,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/6b41ee50-45de-11e9-81ce-69b74fd7e64e.wav,decrease,volume,3,1,2,1,0,0,-18.918179
120,120,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/6ddb5de0-45de-11e9-81ce-69b74fd7e64e.wav,increase,heat,3,1,2,1,0,0,-19.479218
121,121,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/7080db60-45de-11e9-81ce-69b74fd7e64e.wav,increase,heat,3,1,2,1,0,0,-25.728271
122,122,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/72e5f480-45de-11e9-81ce-69b74fd7e64e.wav,increase,heat,3,1,2,1,0,0,-21.256323
123,123,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/75a98150-45de-11e9-81ce-69b74fd7e64e.wav,increase,heat,3,1,2,1,0,0,-20.362925
124,124,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/787858c0-45de-11e9-81ce-69b74fd7e64e.wav,decrease,heat,3,1,2,1,0,0,-20.020664
125,125,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/7b1068c0-45de-11e9-81ce-69b74fd7e64e.wav,decrease,heat,3,1,2,1,0,0,-19.996433
126,126,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/7db5bf30-45de-11e9-81ce-69b74fd7e64e.wav,decrease,heat,3,1,2,1,0,0,-19.638927
127,127,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/8068f850-45de-11e9-81ce-69b74fd7e64e.wav,decrease,heat,3,1,2,1,0,0,-17.43371
128,128,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/87585480-45de-11e9-81ce-69b74fd7e64e.wav,activate,music,3,1,2,1,0,0,-22.093758
129,129,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/89aaf710-45de-11e9-81ce-69b74fd7e64e.wav,activate,music,3,1,2,1,0,0,-18.315468
130,130,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/8bf9c910-45de-11e9-81ce-69b74fd7e64e.wav,activate,music,3,1,2,1,0,0,-28.023119
131,131,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/8e931190-45de-11e9-81ce-69b74fd7e64e.wav,activate,music,3,1,2,1,0,0,-22.05446
132,132,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/edcecc80-45de-11e9-81ce-69b74fd7e64e.wav,deactivate,lights,3,1,2,1,0,0,-21.605526
133,133,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/1ca0e200-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-20.894451
134,134,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/1f4463b0-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-26.292143
135,135,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/21ab78a0-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-21.90394
136,136,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/241fd400-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-20.833897
137,137,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/26236c30-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-21.371078
138,138,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/28907490-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-19.362375
139,139,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/2b03be80-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-22.537998
140,140,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/2d7ad900-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-19.378645
141,141,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/303df0a0-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-18.671282
142,142,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/32cbc770-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-19.274147
143,143,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/354b6d70-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-20.29168
144,144,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/37d832d0-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-19.577047
145,145,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/3a6d0e80-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-19.840815
146,146,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/3c9daa20-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-20.494717
147,147,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/3f3481a0-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-21.092966
148,148,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/418b69f0-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-19.585047
149,149,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/440b5e10-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-19.551138
150,150,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/475b2550-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-19.115063
151,151,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/4a834050-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-17.667622
152,152,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/4e0dedb0-45df-11e9-81ce-69b74fd7e64e.wav,increase,volume,3,1,2,1,0,0,-16.585281
153,153,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/50ae3b10-45df-11e9-81ce-69b74fd7e64e.wav,decrease,volume,3,1,2,1,0,0,-18.42395
154,154,dsl_data/audio/speakers/2ojo7YRL7Gck83Z3/535d2e70-45df-11e9-81ce-69b74fd7e64e.wav,decrease,volume,3,1,2,1,0,0,-16.88525
